COD_POZZO;DATA_ORA;LIVELLO;PORTATA
FE8000;01/01/2018 00:00:00;-3.519;0
FE8000;02/01/2018 00:00:00;-3.52;0
FE8000;03/01/2018 00:00:00;-3.515;0
FE8000;04/01/2018 00:00:00;-3.52;0
FE8000;05/01/2018 00:00:00;-3.523;0
FE8000;06/01/2018 00:00:00;-3.529;0
FE8000;07/01/2018 00:00:00;-3.535;0
FE8000;08/01/2018 00:00:00;-3.539;0
FE8000;09/01/2018 00:00:00;-3.538;0
FE8000;10/01/2018 00:00:00;-3.535;0
FE8000;11/01/2018 00:00:00;-3.523;0
FE8000;12/01/2018 00:00:00;-3.523;0
FE8000;13/01/2018 00:00:00;-3.523;0
FE8000;14/01/2018 00:00:00;-3.523;0
FE8000;15/01/2018 00:00:00;-3.523;0
FE8000;16/01/2018 00:00:00;-3.513;0
FE8000;17/01/2018 00:00:00;-3.508;0
FE8000;18/01/2018 00:00:00;-3.525;0
FE8000;19/01/2018 00:00:00;-3.521;0
FE8000;20/01/2018 00:00:00;-3.516;0
FE8000;21/01/2018 00:00:00;-3.516;0
FE8000;22/01/2018 00:00:00;-3.527;0
FE8000;23/01/2018 00:00:00;-3.531;0
FE8000;24/01/2018 00:00:00;-3.545;0
FE8000;25/01/2018 00:00:00;-3.541;0
FE8000;26/01/2018 00:00:00;-3.54;0
FE8000;27/01/2018 00:00:00;-3.545;0
FE8000;28/01/2018 00:00:00;-3.551;0
FE8000;29/01/2018 00:00:00;-3.548;0
FE8000;30/01/2018 00:00:00;-3.547;0
FE8000;31/01/2018 00:00:00;-3.54;0
FE8000;01/02/2018 00:00:00;-3.528;0
FE8000;02/02/2018 00:00:00;-3.496;0
FE8000;03/02/2018 00:00:00;-3.401;0
FE8000;04/02/2018 00:00:00;-3.368;0
FE8000;05/02/2018 00:00:00;-3.341;0
FE8000;06/02/2018 00:00:00;-3.327;0
FE8000;07/02/2018 00:00:00;-3.322;0
FE8000;08/02/2018 00:00:00;-3.322;0
FE8000;09/02/2018 00:00:00;-3.323;0
FE8000;10/02/2018 00:00:00;-3.322;0
FE8000;11/02/2018 00:00:00;-3.323;0
FE8000;12/02/2018 00:00:00;-3.313;0
FE8000;13/02/2018 00:00:00;-3.3;0
FE8000;14/02/2018 00:00:00;-3.289;0
FE8000;15/02/2018 00:00:00;-3.281;0
FE8000;16/02/2018 00:00:00;-3.273;0
FE8000;17/02/2018 00:00:00;-3.262;0
FE8000;18/02/2018 00:00:00;-3.247;0
FE8000;19/02/2018 00:00:00;-3.231;0
FE8000;20/02/2018 00:00:00;-3.224;0
FE8000;21/02/2018 00:00:00;-3.215;0
FE8000;22/02/2018 00:00:00;-3.195;0
FE8000;23/02/2018 00:00:00;-3.135;0
FE8000;24/02/2018 00:00:00;-3.061;0
FE8000;25/02/2018 00:00:00;-3.031;0
FE8000;26/02/2018 00:00:00;-3.019;0
FE8000;27/02/2018 00:00:00;-3.017;0
FE8000;28/02/2018 00:00:00;-3.019;0
FE8000;01/03/2018 00:00:00;-3.001;0
FE8000;02/03/2018 00:00:00;-2.995;0
FE8000;03/03/2018 00:00:00;-2.925;0
FE8000;04/03/2018 00:00:00;-2.843;0
FE8000;05/03/2018 00:00:00;-2.761;0
FE8000;06/03/2018 00:00:00;-2.667;0
FE8000;07/03/2018 00:00:00;-2.639;0
FE8000;08/03/2018 00:00:00;-2.637;0
FE8000;09/03/2018 00:00:00;-2.645;0
FE8000;10/03/2018 00:00:00;-2.657;0
FE8000;11/03/2018 00:00:00;-2.593;0
FE8000;12/03/2018 00:00:00;-2.529;0
FE8000;13/03/2018 00:00:00;-2.515;0
FE8000;14/03/2018 00:00:00;-2.513;0
FE8000;15/03/2018 00:00:00;-2.512;0
FE8000;16/03/2018 00:00:00;-2.511;0
FE8000;17/03/2018 00:00:00;-2.525;0
FE8000;18/03/2018 00:00:00;-2.217;0
FE8000;19/03/2018 00:00:00;-1.916;0
FE8000;20/03/2018 00:00:00;-1.903;0
FE8000;21/03/2018 00:00:00;-1.941;0
FE8000;22/03/2018 00:00:00;-2.029;0
FE8000;23/03/2018 00:00:00;-2.057;0
FE8000;24/03/2018 00:00:00;-2.131;0
FE8000;25/03/2018 00:00:00;-2.216;0
FE8000;26/03/2018 00:00:00;-2.284;0
FE8000;27/03/2018 00:00:00;-2.306;0
FE8000;28/03/2018 00:00:00;-2.375;0
FE8000;29/03/2018 00:00:00;-2.419;0
FE8000;30/03/2018 00:00:00;-2.449;0
FE8000;31/03/2018 00:00:00;-2.479;0
FE8000;01/04/2018 00:00:00;-2.497;0
FE8000;02/04/2018 00:00:00;-2.556;0
FE8000;03/04/2018 00:00:00;-2.575;0
FE8000;04/04/2018 00:00:00;-2.609;0
FE8000;05/04/2018 00:00:00;-2.601;0
FE8000;06/04/2018 00:00:00;-2.625;0
FE8000;07/04/2018 00:00:00;-2.643;0
FE8000;08/04/2018 00:00:00;-2.657;0
FE8000;09/04/2018 00:00:00;-2.658;0
FE8000;10/04/2018 00:00:00;-2.664;0
FE8000;11/04/2018 00:00:00;-2.684;0
FE8000;12/04/2018 00:00:00;-2.689;0
FE8000;13/04/2018 00:00:00;-2.703;0
FE8000;14/04/2018 00:00:00;-2.729;0
FE8000;15/04/2018 00:00:00;-2.719;0
FE8000;16/04/2018 00:00:00;-2.723;0
FE8000;17/04/2018 00:00:00;-2.721;0
FE8000;18/04/2018 00:00:00;-2.667;0
FE8000;19/04/2018 00:00:00;-2.663;0
FE8000;20/04/2018 00:00:00;-2.663;0
FE8000;21/04/2018 00:00:00;-2.67;0
FE8000;22/04/2018 00:00:00;-2.675;0
FE8000;23/04/2018 00:00:00;-2.678;0
FE8000;24/04/2018 00:00:00;-2.68;0
FE8000;25/04/2018 00:00:00;-2.685;0
FE8000;26/04/2018 00:00:00;-2.679;0
FE8000;27/04/2018 00:00:00;-2.691;0
FE8000;28/04/2018 00:00:00;-2.685;0
FE8000;29/04/2018 00:00:00;-2.676;0
FE8000;30/04/2018 00:00:00;-2.676;0
FE8000;01/05/2018 00:00:00;-2.685;0
FE8000;02/05/2018 00:00:00;-2.645;0
FE8000;03/05/2018 00:00:00;-2.641;0
FE8000;04/05/2018 00:00:00;-2.643;0
FE8000;05/05/2018 00:00:00;-2.668;0
FE8000;06/05/2018 00:00:00;-2.685;0
FE8000;07/05/2018 00:00:00;-2.703;0
FE8000;08/05/2018 00:00:00;-2.699;0
