COD_POZZO,DATA_ORA,LIVELLO,PORTATA
MAN4,2018-01-01 00:00:00,31.74,0.0
MAN4,2018-01-01 00:15:00,32.37,0.0
MAN4,2018-01-01 00:30:00,32.47,0.0
MAN4,2018-01-01 00:45:00,32.78,0.0
MAN4,2018-01-01 01:00:00,30.38,9.34
MAN4,2018-01-01 01:15:00,25.8,20.57
MAN4,2018-01-01 01:30:00,24.81,20.36
MAN4,2018-01-01 01:45:00,31.37,0.06
MAN4,2018-01-01 02:00:00,29.17,10.19
MAN4,2018-01-01 02:15:00,27.15,14.59
MAN4,2018-01-01 02:30:00,32.21,0.0
MAN4,2018-01-01 02:45:00,32.66,0.0
MAN4,2018-01-01 03:00:00,33.09,0.0
MAN4,2018-01-01 03:15:00,33.09,0.0
MAN4,2018-01-01 03:30:00,32.72,2.25
MAN4,2018-01-01 03:45:00,25.78,21.55
MAN4,2018-01-01 04:00:00,26.05,18.13
MAN4,2018-01-01 04:15:00,32.13,0.0
MAN4,2018-01-01 04:30:00,32.89,0.0
MAN4,2018-01-01 04:45:00,32.96,0.0
MAN4,2018-01-01 05:00:00,32.49,0.0
MAN4,2018-01-01 05:15:00,31.33,0.0
MAN4,2018-01-01 05:30:00,30.62,6.98
MAN4,2018-01-01 05:45:00,25.5,21.48
MAN4,2018-01-01 06:00:00,28.57,10.04
MAN4,2018-01-01 06:15:00,32.25,0.0
MAN4,2018-01-01 06:30:00,31.16,0.0
MAN4,2018-01-01 06:45:00,31.15,0.0
MAN4,2018-01-01 07:00:00,32.87,0.0
MAN4,2018-01-01 07:15:00,30.77,7.8
MAN4,2018-01-01 07:30:00,26.56,17.19
MAN4,2018-01-01 07:45:00,32.7,0.0
MAN4,2018-01-01 08:00:00,32.9,0.0
MAN4,2018-01-01 08:15:00,31.4,0.0
MAN4,2018-01-01 08:30:00,30.63,0.0
MAN4,2018-01-01 08:45:00,31.61,1.03
MAN4,2018-01-01 09:00:00,25.49,21.08
MAN4,2018-01-01 09:15:00,24.9,20.37
MAN4,2018-01-01 09:30:00,24.46,20.0
MAN4,2018-01-01 09:45:00,29.35,4.69
MAN4,2018-01-01 10:00:00,30.97,0.0
MAN4,2018-01-01 10:15:00,30.26,0.0
MAN4,2018-01-01 10:30:00,29.79,0.0
MAN4,2018-01-01 10:45:00,29.63,0.0
MAN4,2018-01-01 11:00:00,29.63,0.0
MAN4,2018-01-01 11:15:00,29.99,1.73
MAN4,2018-01-01 11:30:00,24.68,20.64
MAN4,2018-01-01 11:45:00,24.68,20.14
MAN4,2018-01-01 12:00:00,24.35,19.68
MAN4,2018-01-01 12:15:00,24.05,19.68
MAN4,2018-01-01 12:30:00,24.05,19.68
MAN4,2018-01-01 12:45:00,24.05,19.68
MAN4,2018-01-01 13:00:00,27.41,9.44
MAN4,2018-01-01 13:15:00,30.13,0.0
MAN4,2018-01-01 13:30:00,29.77,0.0
MAN4,2018-01-01 13:45:00,29.43,0.0
MAN4,2018-01-01 14:00:00,29.43,0.0
MAN4,2018-01-01 14:15:00,29.43,0.0
MAN4,2018-01-01 14:30:00,29.43,0.0
MAN4,2018-01-01 14:45:00,30.33,0.0
MAN4,2018-01-01 15:00:00,27.23,13.37
MAN4,2018-01-01 15:15:00,24.27,20.15
MAN4,2018-01-01 15:30:00,24.23,20.15
MAN4,2018-01-01 15:45:00,26.1,13.82
MAN4,2018-01-01 16:00:00,31.49,0.0
MAN4,2018-01-01 16:15:00,30.53,0.0
MAN4,2018-01-01 16:30:00,29.69,0.0
MAN4,2018-01-01 16:45:00,30.49,0.0
MAN4,2018-01-01 17:00:00,26.49,15.81
MAN4,2018-01-01 17:15:00,24.72,20.18
MAN4,2018-01-01 17:30:00,25.19,16.38
MAN4,2018-01-01 17:45:00,31.28,0.0
MAN4,2018-01-01 18:00:00,30.23,0.0
MAN4,2018-01-01 18:15:00,29.68,0.0
MAN4,2018-01-01 18:30:00,30.01,0.67
MAN4,2018-01-01 18:45:00,24.6,20.84
MAN4,2018-01-01 19:00:00,24.39,20.01
MAN4,2018-01-01 19:15:00,24.09,19.59
MAN4,2018-01-01 19:30:00,26.78,13.08
MAN4,2018-01-01 19:45:00,30.62,0.0
MAN4,2018-01-01 20:00:00,29.97,0.0
MAN4,2018-01-01 20:15:00,29.77,0.0
MAN4,2018-01-01 20:30:00,29.85,0.0
MAN4,2018-01-01 20:45:00,30.59,2.98
MAN4,2018-01-01 21:00:00,24.77,20.18
MAN4,2018-01-01 21:15:00,24.34,20.18
MAN4,2018-01-01 21:30:00,25.47,15.65
MAN4,2018-01-01 21:45:00,31.3,0.0
MAN4,2018-01-01 22:00:00,30.75,0.0
