COD_POZZO;DATA_ORA;LIVELLO;PORTATA
BO2800;01/01/2018 00:00:00;-9.453;0
BO2800;02/01/2018 00:00:00;-9.451;0
BO2800;03/01/2018 00:00:00;-9.438;0
BO2800;04/01/2018 00:00:00;-9.439;0
BO2800;05/01/2018 00:00:00;-9.439;0
BO2800;06/01/2018 00:00:00;-9.441;0
BO2800;07/01/2018 00:00:00;-9.445;0
BO2800;08/01/2018 00:00:00;-9.444;0
BO2800;09/01/2018 00:00:00;-9.439;0
BO2800;10/01/2018 00:00:00;-9.439;0
BO2800;11/01/2018 00:00:00;-9.438;0
BO2800;12/01/2018 00:00:00;-9.445;0
BO2800;13/01/2018 00:00:00;-9.455;0
BO2800;14/01/2018 00:00:00;-9.457;0
BO2800;15/01/2018 00:00:00;-9.457;0
BO2800;16/01/2018 00:00:00;-9.445;0
BO2800;17/01/2018 00:00:00;-9.442;0
BO2800;18/01/2018 00:00:00;-9.464;0
BO2800;19/01/2018 00:00:00;-9.463;0
BO2800;20/01/2018 00:00:00;-9.473;0
BO2800;21/01/2018 00:00:00;-9.473;0
BO2800;22/01/2018 00:00:00;-9.481;0
BO2800;23/01/2018 00:00:00;-9.489;0
BO2800;24/01/2018 00:00:00;-9.505;0
BO2800;25/01/2018 00:00:00;-9.505;0
BO2800;26/01/2018 00:00:00;-9.531;0
BO2800;27/01/2018 00:00:00;-9.545;0
BO2800;28/01/2018 00:00:00;-9.551;0
BO2800;29/01/2018 00:00:00;-9.543;0
BO2800;30/01/2018 00:00:00;-9.543;0
BO2800;31/01/2018 00:00:00;-9.537;0
BO2800;01/02/2018 00:00:00;-9.523;0
BO2800;02/02/2018 00:00:00;-9.482;0
BO2800;03/02/2018 00:00:00;-9.415;0
BO2800;04/02/2018 00:00:00;-9.391;0
BO2800;05/02/2018 00:00:00;-9.515;0
BO2800;06/02/2018 00:00:00;-9.468;0
BO2800;07/02/2018 00:00:00;-9.494;0
BO2800;08/02/2018 00:00:00;-9.498;0
BO2800;09/02/2018 00:00:00;-9.502;0
BO2800;10/02/2018 00:00:00;-9.502;0
BO2800;11/02/2018 00:00:00;-9.5;0
BO2800;12/02/2018 00:00:00;-9.463;0
BO2800;13/02/2018 00:00:00;-9.46;0
BO2800;14/02/2018 00:00:00;-9.489;0
BO2800;15/02/2018 00:00:00;-9.499;0
BO2800;16/02/2018 00:00:00;-9.504;0
BO2800;17/02/2018 00:00:00;-9.503;0
BO2800;18/02/2018 00:00:00;-9.462;0
BO2800;19/02/2018 00:00:00;-9.474;0
BO2800;20/02/2018 00:00:00;-9.478;0
BO2800;21/02/2018 00:00:00;-9.472;0
BO2800;22/02/2018 00:00:00;-9.445;0
BO2800;23/02/2018 00:00:00;-9.397;0
BO2800;24/02/2018 00:00:00;-9.402;0
BO2800;25/02/2018 00:00:00;-9.445;0
BO2800;26/02/2018 00:00:00;-9.438;0
BO2800;27/02/2018 00:00:00;-9.435;0
BO2800;28/02/2018 00:00:00;-9.439;0
