COD_POZZO;DATA_ORA;LIVELLO;PORTATA
FC0602;27/06/2019 00:00:00;-22.491;0
FC0602;28/06/2019 00:00:00;-22.453;0
FC0602;29/06/2019 00:00:00;-22.297;0
FC0602;30/06/2019 00:00:00;-22.083;0
FC0602;01/07/2019 00:00:00;-22.173;0
FC0602;02/07/2019 00:00:00;-22.219;0
FC0602;03/07/2019 00:00:00;-22.225;0
FC0602;04/07/2019 00:00:00;-22.342;0
FC0602;05/07/2019 00:00:00;-22.377;0
FC0602;06/07/2019 00:00:00;-22.351;0
FC0602;07/07/2019 00:00:00;-22.143;0
FC0602;08/07/2019 00:00:00;-22.109;0
FC0602;09/07/2019 00:00:00;-22.283;0
FC0602;10/07/2019 00:00:00;-22.351;0
FC0602;11/07/2019 00:00:00;-22.36;0
FC0602;12/07/2019 00:00:00;-22.255;0
FC0602;13/07/2019 00:00:00;-22.101;0
FC0602;14/07/2019 00:00:00;-21.966;0
FC0602;15/07/2019 00:00:00;-21.832;0
FC0602;16/07/2019 00:00:00;-21.933;0
FC0602;17/07/2019 00:00:00;-22.049;0
FC0602;18/07/2019 00:00:00;-22.136;0
FC0602;19/07/2019 00:00:00;-22.233;0
FC0602;20/07/2019 00:00:00;-22.212;0
FC0602;21/07/2019 00:00:00;-22.082;0
FC0602;22/07/2019 00:00:00;-22.005;0
FC0602;23/07/2019 00:00:00;-22.132;0
FC0602;24/07/2019 00:00:00;-22.247;0
FC0602;25/07/2019 00:00:00;-22.246;0
FC0602;26/07/2019 00:00:00;-22.344;0
FC0602;22/10/2019 00:00:00;-23.271;0
FC0602;23/10/2019 00:00:00;-23.467;0
FC0602;24/10/2019 00:00:00;-23.544;0
FC0602;25/10/2019 00:00:00;-23.55;0
FC0602;26/10/2019 00:00:00;-23.589;0
FC0602;27/10/2019 00:00:00;-23.351;0
FC0602;28/10/2019 00:00:00;-23.357;0
FC0602;29/10/2019 00:00:00;-23.572;0
FC0602;30/10/2019 00:00:00;-23.711;0
FC0602;31/10/2019 00:00:00;-23.731;0
FC0602;01/11/2019 00:00:00;-23.729;0
FC0602;02/11/2019 00:00:00;-23.51;0
FC0602;03/11/2019 00:00:00;-23.301;0
FC0602;04/11/2019 00:00:00;-23.352;0
FC0602;05/11/2019 00:00:00;-23.543;0
