COD_POZZO;DATA_ORA;LIVELLO;PORTATA
MO8100;01/01/2018 00:00:00;-42.153;0
MO8100;02/01/2018 00:00:00;-42.298;0
MO8100;03/01/2018 00:00:00;-42.364;0
MO8100;04/01/2018 00:00:00;-42.265;0
MO8100;05/01/2018 00:00:00;-42.564;0
MO8100;06/01/2018 00:00:00;-42.518;0
MO8100;07/01/2018 00:00:00;-42.35;0
MO8100;08/01/2018 00:00:00;-42.342;0
MO8100;09/01/2018 00:00:00;-42.807;0
MO8100;10/01/2018 00:00:00;-43.126;0
MO8100;11/01/2018 00:00:00;-43.119;0
MO8100;12/01/2018 00:00:00;-43.072;0
MO8100;13/01/2018 00:00:00;-43.124;0
MO8100;14/01/2018 00:00:00;-42.812;0
MO8100;15/01/2018 00:00:00;-42.777;0
MO8100;16/01/2018 00:00:00;-43.02;0
MO8100;17/01/2018 00:00:00;-43.172;0
MO8100;18/01/2018 00:00:00;-43.179;0
MO8100;19/01/2018 00:00:00;-43.152;0
MO8100;20/01/2018 00:00:00;-43.136;0
MO8100;21/01/2018 00:00:00;-42.973;0
MO8100;22/01/2018 00:00:00;-42.716;0
MO8100;23/01/2018 00:00:00;-43.141;0
MO8100;24/01/2018 00:00:00;-43.339;0
MO8100;25/01/2018 00:00:00;-43.295;0
MO8100;26/01/2018 00:00:00;-43.161;0
MO8100;27/01/2018 00:00:00;-43.18;0
MO8100;28/01/2018 00:00:00;-43.117;0
MO8100;29/01/2018 00:00:00;-42.771;0
MO8100;30/01/2018 00:00:00;-43.075;0
MO8100;31/01/2018 00:00:00;-43.217;0
MO8100;01/02/2018 00:00:00;-42.959;0
MO8100;02/02/2018 00:00:00;-42.868;0
MO8100;03/02/2018 00:00:00;-42.78;0
MO8100;04/02/2018 00:00:00;-42.631;0
MO8100;05/02/2018 00:00:00;-42.467;0
MO8100;06/02/2018 00:00:00;-42.955;0
MO8100;07/02/2018 00:00:00;-42.984;0
MO8100;08/02/2018 00:00:00;-42.888;0
MO8100;09/02/2018 00:00:00;-42.812;0
MO8100;10/02/2018 00:00:00;-42.843;0
MO8100;11/02/2018 00:00:00;-42.561;0
MO8100;12/02/2018 00:00:00;-42.361;0
MO8100;13/02/2018 00:00:00;-42.683;0
MO8100;14/02/2018 00:00:00;-42.752;0
MO8100;15/02/2018 00:00:00;-43.002;0
MO8100;16/02/2018 00:00:00;-42.938;0
MO8100;17/02/2018 00:00:00;-42.712;0
MO8100;18/02/2018 00:00:00;-42.627;0
MO8100;19/02/2018 00:00:00;-42.421;0
MO8100;20/02/2018 00:00:00;-42.585;0
MO8100;21/02/2018 00:00:00;-42.693;0
MO8100;22/02/2018 00:00:00;-42.6;0
MO8100;23/02/2018 00:00:00;-42.536;0
MO8100;24/02/2018 00:00:00;-42.399;0
MO8100;25/02/2018 00:00:00;-42.363;0
MO8100;26/02/2018 00:00:00;-42.356;0
MO8100;28/02/2018 00:00:00;-42.669;0
MO8100;01/03/2018 00:00:00;-42.468;0
MO8100;02/03/2018 00:00:00;-42.27;0
MO8100;03/03/2018 00:00:00;-42.237;0
MO8100;04/03/2018 00:00:00;-42.255;0
MO8100;05/03/2018 00:00:00;-42.083;0
MO8100;06/03/2018 00:00:00;-42.448;0
MO8100;07/03/2018 00:00:00;-42.529;0
MO8100;08/03/2018 00:00:00;-42.407;0
MO8100;09/03/2018 00:00:00;-42.319;0
MO8100;10/03/2018 00:00:00;-42.285;0
MO8100;11/03/2018 00:00:00;-42.025;0
MO8100;12/03/2018 00:00:00;-41.733;0
MO8100;13/03/2018 00:00:00;-42.105;0
MO8100;14/03/2018 00:00:00;-42.209;0
MO8100;15/03/2018 00:00:00;-42.084;0
MO8100;16/03/2018 00:00:00;-42.043;0
MO8100;17/03/2018 00:00:00;-42.093;0
MO8100;18/03/2018 00:00:00;-41.925;0
MO8100;19/03/2018 00:00:00;-41.675;0
MO8100;20/03/2018 00:00:00;-41.94;0
MO8100;21/03/2018 00:00:00;-42.123;0
MO8100;22/03/2018 00:00:00;-41.989;0
MO8100;23/03/2018 00:00:00;-41.734;0
MO8100;24/03/2018 00:00:00;-41.781;0
MO8100;25/03/2018 00:00:00;-41.639;0
MO8100;26/03/2018 00:00:00;-41.555;0
MO8100;27/03/2018 00:00:00;-41.769;0
MO8100;28/03/2018 00:00:00;-41.779;0
MO8100;29/03/2018 00:00:00;-41.764;0
