COD_POZZO;DATA_ORA;LIVELLO;PORTATA
RN0600;01/01/2018 00:00:00;-11.999;0
RN0600;02/01/2018 00:00:00;-11.98;0
RN0600;03/01/2018 00:00:00;-11.861;0
RN0600;04/01/2018 00:00:00;-11.786;0
RN0600;05/01/2018 00:00:00;-11.746;0
RN0600;06/01/2018 00:00:00;-11.693;0
RN0600;07/01/2018 00:00:00;-11.639;0
RN0600;08/01/2018 00:00:00;-11.533;0
RN0600;09/01/2018 00:00:00;-11.433;0
RN0600;10/01/2018 00:00:00;-11.21;0
RN0600;11/01/2018 00:00:00;-11.053;0
RN0600;12/01/2018 00:00:00;-10.962;0
RN0600;13/01/2018 00:00:00;-10.822;0
RN0600;14/01/2018 00:00:00;-10.712;0
RN0600;15/01/2018 00:00:00;-10.561;0
RN0600;16/01/2018 00:00:00;-10.358;0
RN0600;17/01/2018 00:00:00;-10.272;0
RN0600;18/01/2018 00:00:00;-10.215;0
RN0600;19/01/2018 00:00:00;-10.102;0
RN0600;20/01/2018 00:00:00;-9.969;0
RN0600;21/01/2018 00:00:00;-9.896;0
RN0600;22/01/2018 00:00:00;-9.817;0
RN0600;23/01/2018 00:00:00;-9.787;0
RN0600;24/01/2018 00:00:00;-9.691;0
RN0600;25/01/2018 00:00:00;-9.537;0
RN0600;26/01/2018 00:00:00;-9.434;0
RN0600;27/01/2018 00:00:00;-9.389;0
RN0600;28/01/2018 00:00:00;-9.289;0
RN0600;29/01/2018 00:00:00;-9.151;0
RN0600;30/01/2018 00:00:00;-9.043;0
RN0600;31/01/2018 00:00:00;-8.879;0
RN0600;01/02/2018 00:00:00;-8.703;0
RN0600;02/02/2018 00:00:00;-8.601;0
RN0600;03/02/2018 00:00:00;-8.478;0
RN0600;04/02/2018 00:00:00;-8.423;0
RN0600;05/02/2018 00:00:00;-8.407;0
RN0600;06/02/2018 00:00:00;-8.22;0
RN0600;07/02/2018 00:00:00;-8.113;0
RN0600;08/02/2018 00:00:00;-8.072;0
RN0600;09/02/2018 00:00:00;-7.967;0
RN0600;10/02/2018 00:00:00;-7.847;0
RN0600;11/02/2018 00:00:00;-7.745;0
RN0600;12/02/2018 00:00:00;-7.65;0
RN0600;13/02/2018 00:00:00;-7.561;0
RN0600;14/02/2018 00:00:00;-7.499;0
RN0600;15/02/2018 00:00:00;-7.457;0
RN0600;16/02/2018 00:00:00;-7.349;0
RN0600;17/02/2018 00:00:00;-7.203;0
RN0600;18/02/2018 00:00:00;-7.086;0
RN0600;19/02/2018 00:00:00;-6.97;0
RN0600;20/02/2018 00:00:00;-6.833;0
RN0600;21/02/2018 00:00:00;-6.695;0
RN0600;22/02/2018 00:00:00;-6.596;0
RN0600;23/02/2018 00:00:00;-6.199;0
RN0600;24/02/2018 00:00:00;-6.209;0
RN0600;25/02/2018 00:00:00;-6.079;0
RN0600;26/02/2018 00:00:00;-5.92;0
RN0600;27/02/2018 00:00:00;-5.807;0
RN0600;28/02/2018 00:00:00;-5.758;0
RN0600;01/03/2018 00:00:00;-5.571;0
RN0600;02/03/2018 00:00:00;-5.337;0
RN0600;03/03/2018 00:00:00;-5.169;0
RN0600;04/03/2018 00:00:00;-5.042;0
RN0600;05/03/2018 00:00:00;-4.774;0
RN0600;06/03/2018 00:00:00;-4.63;0
RN0600;07/03/2018 00:00:00;-4.509;0
RN0600;08/03/2018 00:00:00;-4.415;0
RN0600;09/03/2018 00:00:00;-4.256;0
RN0600;10/03/2018 00:00:00;-4.069;0
RN0600;11/03/2018 00:00:00;-3.819;0
RN0600;12/03/2018 00:00:00;-3.664;0
