"Time","MAG2"
01-01-2012 01:00:00,-73.788 m
01-02-2012 01:00:00,-71.893 m
01-03-2012 01:00:00,-72.642 m
01-04-2012 02:00:00,-71.077 m
01-05-2012 02:00:00,-70.336 m
01-06-2012 02:00:00,-74.039 m
01-07-2012 02:00:00,-79.728 m
01-08-2012 02:00:00,-80.745 m
01-09-2012 02:00:00,-82.322 m
01-10-2012 02:00:00,-75.774 m
01-11-2012 01:00:00,-73.369 m
01-12-2012 01:00:00,-71.213 m
01-01-2013 01:00:00,-72.967 m
01-02-2013 01:00:00,-72.535 m
01-03-2013 01:00:00,-69.592 m
01-04-2013 02:00:00,-64.313 m
01-05-2013 02:00:00,-63.343 m
01-06-2013 02:00:00,-65.769 m
01-07-2013 02:00:00,-74.529 m
01-08-2013 02:00:00,-77.829 m
01-09-2013 02:00:00,-79.948 m
01-10-2013 02:00:00,-80.535 m
01-11-2013 01:00:00,-78.693 m
01-12-2013 01:00:00,-70.036 m
01-01-2014 01:00:00,-68.554 m
01-02-2014 01:00:00,-67.272 m
01-03-2014 01:00:00,-65.158 m
01-04-2014 02:00:00,-64.620 m
01-05-2014 02:00:00,-65.593 m
01-06-2014 02:00:00,-74.186 m
01-07-2014 02:00:00,-76.905 m
01-08-2014 02:00:00,-78.038 m
01-09-2014 02:00:00,-80.843 m
01-10-2014 02:00:00,-81.059 m
01-11-2014 01:00:00,-80.145 m
01-12-2014 01:00:00,-79.009 m
01-01-2015 01:00:00,-78.722 m
01-02-2015 01:00:00,-68.997 m
01-03-2015 01:00:00,-71.130 m
01-04-2015 02:00:00,-66.528 m
01-05-2015 02:00:00,-68.401 m
01-06-2015 02:00:00,-69.179 m
01-07-2015 02:00:00,-75.204 m
01-08-2015 02:00:00,-76.033 m
01-09-2015 02:00:00,-71.656 m
01-10-2015 02:00:00,-73.405 m
01-11-2015 01:00:00,-73.462 m
01-12-2015 01:00:00,-74.120 m
01-01-2016 01:00:00,-69.262 m
01-02-2016 01:00:00,-68.910 m
01-03-2016 01:00:00,-80.899 m
01-04-2016 02:00:00,-78.904 m
01-05-2016 02:00:00,-76.232 m
01-06-2016 02:00:00,-88.207 m
01-07-2016 02:00:00,-90.000 m
01-08-2016 02:00:00,-90.000 m
01-09-2016 02:00:00,-90.000 m
01-10-2016 02:00:00,-90.000 m
01-11-2016 01:00:00,-90.000 m
01-12-2016 01:00:00,-90.000 m

