"Time","MAN7"
07-04-2011 13:00:00,-6.157 m
01-05-2011 02:00:00,-5.437 m
01-06-2011 02:00:00,-7.381 m
01-07-2011 02:00:00,-8.982 m
01-08-2011 02:00:00,-9.620 m
01-09-2011 02:00:00,-11.993 m
01-10-2011 02:00:00,-30.354 m
01-11-2011 01:00:00,-19.007 m
01-12-2011 01:00:00,-49.699 m
01-01-2012 01:00:00,-49.805 m
01-02-2012 01:00:00,-49.859 m
01-03-2012 01:00:00,-49.822 m
01-04-2012 02:00:00,-49.873 m
01-05-2012 02:00:00,-49.897 m
01-06-2012 02:00:00,-49.930 m
01-07-2012 02:00:00,-49.914 m
01-08-2012 02:00:00,-50.088 m
01-09-2012 02:00:00,-50.022 m
01-10-2012 02:00:00,-50.112 m
01-11-2012 01:00:00,-50.042 m
01-12-2012 01:00:00,-50.077 m
01-01-2013 01:00:00,-50.110 m
01-02-2013 01:00:00,-50.000 m
01-03-2013 01:00:00,-50.065 m
01-04-2013 02:00:00,-50.035 m
01-05-2013 02:00:00,-50.070 m
01-06-2013 02:00:00,-50.034 m
01-07-2013 02:00:00,-49.985 m
01-08-2013 02:00:00,-50.046 m
01-09-2013 02:00:00,-49.999 m
01-10-2013 02:00:00,-50.051 m
01-11-2013 01:00:00,-50.109 m
01-12-2013 01:00:00,-50.166 m
01-01-2014 01:00:00,-50.170 m
01-02-2014 01:00:00,-50.194 m
01-03-2014 01:00:00,-50.134 m
01-04-2014 02:00:00,-50.449 m
01-05-2014 02:00:00,-48.266 m
01-06-2014 02:00:00,-50.442 m
01-07-2014 02:00:00,-50.063 m
01-08-2014 02:00:00,-43.569 m
01-09-2014 02:00:00,-20.173 m
01-10-2014 02:00:00,-19.885 m
01-11-2014 01:00:00,-19.262 m
01-12-2014 01:00:00,-18.957 m
01-07-2015 02:00:00,-21.709 m
01-08-2015 02:00:00,-20.818 m
01-09-2015 02:00:00,-20.602 m
01-10-2015 02:00:00,-20.121 m
01-11-2015 01:00:00,-19.340 m
01-12-2015 01:00:00,-24.323 m
01-01-2016 01:00:00,-39.500 m
01-02-2016 01:00:00,-39.500 m
01-03-2016 01:00:00,-39.500 m
01-04-2016 02:00:00,-22.664 m
01-05-2016 02:00:00,-19.807 m
01-06-2016 02:00:00,-20.077 m
01-07-2016 02:00:00,-21.832 m
01-08-2016 02:00:00,-22.099 m
01-09-2016 02:00:00,-22.190 m
01-10-2016 02:00:00,-22.996 m
01-11-2016 01:00:00,-22.797 m
01-12-2016 01:00:00,-22.905 m
01-01-2017 01:00:00,-23.019 m
01-02-2017 01:00:00,-23.073 m
01-03-2017 01:00:00,-23.134 m
01-04-2017 02:00:00,-23.379 m
01-05-2017 02:00:00,-23.704 m
01-06-2017 02:00:00,-25.554 m
01-07-2017 02:00:00,-25.907 m
01-08-2017 02:00:00,-26.145 m
01-09-2017 02:00:00,-25.017 m
01-10-2017 02:00:00,-23.831 m
01-11-2017 01:00:00,-23.358 m
01-12-2017 01:00:00,-23.091 m
01-01-2018 01:00:00,-23.198 m
01-02-2018 01:00:00,-23.065 m
01-03-2018 01:00:00,-22.859 m
01-04-2018 02:00:00,-22.862 m
01-05-2018 02:00:00,-22.901 m
01-06-2018 02:00:00,-28.269 m
01-07-2018 02:00:00,-35.634 m
01-08-2018 02:00:00,-40.067 m
01-09-2018 02:00:00,-39.829 m
01-10-2018 02:00:00,-39.714 m
01-11-2018 01:00:00,-39.886 m
01-12-2018 01:00:00,-39.921 m
01-01-2019 01:00:00,-39.821 m
01-02-2019 01:00:00,-39.744 m
01-03-2019 01:00:00,-40.054 m
01-04-2019 02:00:00,-41.795 m
01-05-2019 02:00:00,-46.939 m
01-06-2019 02:00:00,-44.660 m
01-07-2019 02:00:00,-41.892 m
01-08-2019 02:00:00,-41.843 m
01-09-2019 02:00:00,-41.666 m
01-10-2019 02:00:00,-41.542 m
01-11-2019 01:00:00,-41.426 m
01-12-2019 01:00:00,-39.866 m
01-01-2020 01:00:00,-39.609 m
01-02-2020 01:00:00,-39.634 m
01-03-2020 01:00:00,-39.608 m
01-04-2020 02:00:00,-40.670 m
01-05-2020 02:00:00,-43.473 m
01-06-2020 02:00:00,-48.193 m
01-07-2020 02:00:00,-54.421 m
01-08-2020 02:00:00,-54.422 m
01-09-2020 02:00:00,-54.428 m
01-10-2020 02:00:00,-54.428 m
01-11-2020 01:00:00,-54.433 m
01-12-2020 01:00:00,-54.444 m

