"Time","A10"
08-09-2011 16:30:00,-0.527 m
01-10-2011 02:00:00,-0.455 m
01-11-2011 01:00:00,-0.418 m
01-12-2011 01:00:00,-0.428 m
01-01-2012 01:00:00,-0.499 m
01-02-2012 01:00:00,-0.521 m
01-03-2012 01:00:00,-0.477 m
01-04-2012 02:00:00,-0.420 m
01-05-2012 02:00:00,-0.405 m
01-06-2012 02:00:00,-0.481 m
01-07-2012 02:00:00,-0.520 m
01-08-2012 02:00:00,-0.499 m
01-09-2012 02:00:00,-0.517 m
01-10-2012 02:00:00,-0.431 m
01-11-2012 01:00:00,-0.377 m
01-12-2012 01:00:00,-0.390 m
01-01-2013 01:00:00,-0.328 m
01-02-2013 01:00:00,-0.275 m
01-03-2013 01:00:00,-0.321 m
01-04-2013 02:00:00,-0.304 m
01-05-2013 02:00:00,-0.315 m
01-06-2013 02:00:00,-0.376 m
01-07-2013 02:00:00,-0.424 m
01-08-2013 02:00:00,-0.403 m
01-09-2013 02:00:00,-0.416 m
01-10-2013 02:00:00,-0.312 m
01-11-2013 01:00:00,-0.274 m
01-12-2013 01:00:00,-0.266 m
01-01-2014 01:00:00,-0.235 m
01-02-2014 01:00:00,-0.222 m
01-03-2014 01:00:00,-0.214 m
01-04-2014 02:00:00,-0.191 m
01-05-2014 02:00:00,-0.365 m
01-06-2014 02:00:00,-0.404 m
01-07-2014 02:00:00,-0.243 m
01-08-2014 02:00:00,-0.155 m
01-09-2014 02:00:00,-0.150 m
01-10-2014 02:00:00,-0.130 m
01-11-2014 01:00:00,-0.113 m
01-12-2014 01:00:00,-0.096 m
01-01-2015 01:00:00,-0.113 m
01-02-2015 01:00:00,-0.106 m
01-03-2015 01:00:00,-0.101 m
01-04-2015 02:00:00,-0.103 m
01-05-2015 02:00:00,-0.144 m
01-06-2015 02:00:00,-0.169 m
01-07-2015 02:00:00,-0.214 m
01-08-2015 02:00:00,-0.113 m
01-09-2015 02:00:00,-0.195 m
01-10-2015 02:00:00,-0.123 m
01-11-2015 01:00:00,-0.114 m
01-12-2015 01:00:00,-0.095 m
01-01-2016 01:00:00,-0.093 m
01-02-2016 01:00:00,-0.090 m
01-03-2016 01:00:00,-0.119 m
01-04-2016 02:00:00,-0.068 m
01-05-2016 02:00:00,-0.062 m
01-06-2016 02:00:00,-0.074 m
01-07-2016 02:00:00,-0.114 m
01-08-2016 02:00:00,-0.056 m
01-09-2016 02:00:00,-0.111 m
01-10-2016 02:00:00,-0.094 m
01-11-2016 01:00:00,-0.099 m
01-12-2016 01:00:00,-0.085 m
01-01-2017 01:00:00,-0.062 m
01-02-2017 01:00:00,-0.055 m
01-03-2017 01:00:00,-0.065 m
01-04-2017 02:00:00,-0.050 m
01-05-2017 02:00:00,-0.082 m
01-06-2017 02:00:00,-0.099 m
01-07-2017 02:00:00,-0.078 m
01-08-2017 02:00:00,-0.081 m
01-09-2017 02:00:00,-0.126 m
01-10-2017 02:00:00,-0.116 m
01-11-2017 01:00:00,-0.078 m
01-12-2017 01:00:00,-0.077 m

